unique_id,cutoff,metric,SeasonalNaive,Naive,AutoETS,AutoARIMA,XGBRegressor,LGBMRegressor,NBEATS,NHITS,TimeGPT
hotel_49,2023-03-10,mape,0.028688611064829485,0.048251637866243605,0.10018704240394224,0.027641696779546594,0.06322915458034081,0.0561175107062389,0.021413425975385942,0.01552814344347052,
hotel_56,2023-03-10,mape,0.011628875169349054,0.011193073975304184,0.03678949401110545,0.0476398818006793,0.022883498121354713,0.024224946990052645,0.01918625908670782,0.021192289560042495,
hotel_63,2023-03-10,mape,0.27670135398689694,0.297462399181175,0.1898722440754051,0.19778478467719446,0.1919094463735535,0.18289913847341083,0.1756629718623556,0.17544367440002132,
hotel_7,2023-03-10,mape,0.5690906317781903,0.8528925744380692,0.5796939743935023,0.4925907581436126,0.8526112004277566,0.8609046300477493,0.5798790758751569,0.5894633225089702,
hotel_70,2023-03-10,mape,0.15469229091767758,0.13879198756572547,0.270442608818307,0.1856348813051052,0.1371293036162675,0.16844048746997675,0.14858323795172249,0.15338007823007807,
hotel_84,2023-03-10,mape,0.24173103510101715,0.37670900450858014,0.1976375794042769,0.20151180409261676,0.2524521007757599,0.20763070780039763,0.2065211505555619,0.2179416971552305,
hotel_91,2023-03-10,mape,0.2478831465911974,0.21522557855058513,0.22398552719786732,0.2137685251049673,0.2248514354593127,0.227519611442455,0.17097395912617666,0.1696217383739683,
hotel_98,2023-03-10,mape,0.3180718158994056,1.1457434986534554,0.7050142261710671,0.3355582946841839,1.1766506794378648,0.8375769500588398,0.5709024710037397,0.48650141872388114,
hotel_0,2023-04-07,mape,0.6696047119352663,0.6361470773167246,0.5261415844774366,0.5790904578294896,0.5655016257659848,0.5412881317688996,0.5310288648111599,0.5588179435910929,
hotel_105,2023-04-07,mape,0.11449520593608517,0.24029507290402316,0.10839278118606595,0.11189302614655126,0.13769397522820362,0.12598586325072647,0.12389159138502603,0.1291519004286169,
hotel_112,2023-04-07,mape,0.12720057931058387,0.18912294811626068,0.12365193085274437,0.09352853349939648,0.10992906008082749,0.10066396476268498,0.09185029788250607,0.09630338543065708,
hotel_126,2023-04-07,mape,0.03431581852617256,0.03160313900906638,0.03912437508271371,0.04296070617059545,0.030709073092395612,0.03259371130359232,0.03438443503543965,0.03561329160627797,
hotel_133,2023-04-07,mape,0.14732537258854397,0.15978958821503728,0.1250068684645965,0.1353230055090408,0.13574838931512911,0.1367095647040708,0.1264841635062675,0.12191297869034269,
hotel_14,2023-04-07,mape,0.08873218230038818,0.12604573896858876,0.09856591977803382,0.09339119395891828,0.12123509749898422,0.09315871294218223,0.09427293908202768,0.09305100106815137,
hotel_21,2023-04-07,mape,0.04134667721478041,0.04108402362222581,0.03528983245704853,0.034229555554425854,0.04783803491905126,0.04201498224134883,0.03741974991068137,0.03713843523608922,
hotel_28,2023-04-07,mape,,,,,,,,,
hotel_35,2023-04-07,mape,0.3141097158303365,0.3253280533080565,0.28427408508746793,0.47806511048275535,0.14375772021836256,0.1507009251302991,0.15318047291068093,0.15547475766726396,
hotel_42,2023-04-07,mape,0.49480273596256,0.4915548562141247,0.44870266126262376,0.5167749150209938,0.4935220946266729,0.4701059969619306,0.45699200470931794,0.4561889144387995,
hotel_49,2023-04-07,mape,0.15816364205202432,0.16264578948746872,0.11644443815320882,0.17060008506148977,0.23801793504491425,0.21744524665367945,0.16113494833333264,0.16339155983544157,
hotel_56,2023-04-07,mape,0.044921481010416785,0.04806590252392443,0.05008005739388038,0.0605982254567599,0.04541830327027129,0.044424853802231816,0.04185931089750235,0.04370675406995632,
hotel_63,2023-04-07,mape,0.2695637285796429,0.38115177321160865,0.20605009727169105,0.3039507040496576,0.35629057534806235,0.3422419871295519,0.2645926398488068,0.2978145664212471,
hotel_7,2023-04-07,mape,0.32701100823415796,0.518821500813761,0.37571531608593695,0.3934873703628055,0.354161360301283,0.41420956669460474,0.3469669130807171,0.3564983986304869,
