unique_id,ds,cutoff,y,XGBRegressor,LGBMRegressor
hotel_84,2023-04-23,2023-04-07,0.657439446366782,0.78620803,0.8688414156807873
hotel_84,2023-04-24,2023-04-07,0.9342560553633218,0.8127983,0.8700947778363168
hotel_84,2023-04-25,2023-04-07,0.9792387543252595,0.7608583,0.7632362628609168
hotel_84,2023-04-26,2023-04-07,0.9826989619377162,0.74496275,0.7776028329913264
hotel_84,2023-04-27,2023-04-07,0.7439446366782007,0.8045324,0.8005748071459274
hotel_84,2023-04-28,2023-04-07,0.9515570934256056,0.83449847,0.8358330553697565
hotel_84,2023-04-29,2023-04-07,1.0069204152249136,0.88594145,0.8670158515725345
hotel_84,2023-04-30,2023-04-07,0.8062283737024222,0.90462995,0.8619658132641987
hotel_84,2023-05-01,2023-04-07,0.629757785467128,0.87264425,0.8760673611379545
hotel_84,2023-05-02,2023-04-07,0.6851211072664359,0.86328185,0.8728145545305434
hotel_84,2023-05-03,2023-04-07,0.5155709342560554,0.8557972,0.8561139352430136
hotel_84,2023-05-04,2023-04-07,0.7335640138408305,0.8560022,0.8594709270828831
hotel_84,2023-05-05,2023-04-07,0.8719723183391004,0.8162553,0.827757585200088
hotel_91,2023-04-08,2023-04-07,0.6966292134831461,0.6515199,0.7678725942886699
hotel_91,2023-04-09,2023-04-07,0.3707865168539326,0.6577548,0.7433875019147149
hotel_91,2023-04-10,2023-04-07,0.7865168539325843,0.87087035,0.8378707935830925
hotel_91,2023-04-11,2023-04-07,0.9775280898876404,0.90697104,0.9068305453870223
hotel_91,2023-04-12,2023-04-07,1.0,0.9762578,0.8992866435331047
hotel_91,2023-04-13,2023-04-07,0.6179775280898876,0.95373577,0.884898185657047
hotel_91,2023-04-14,2023-04-07,0.7078651685393258,0.85857236,0.8378129383443819
hotel_91,2023-04-15,2023-04-07,0.7415730337078652,0.7541837,0.8051053450325159
hotel_91,2023-04-16,2023-04-07,0.4157303370786517,0.70197904,0.7225411268871504
hotel_91,2023-04-17,2023-04-07,0.7528089887640449,0.73336065,0.7864898604011507
hotel_91,2023-04-18,2023-04-07,0.7865168539325843,0.73047966,0.8331418197982136
hotel_91,2023-04-19,2023-04-07,0.8202247191011236,0.8533877,0.8898238558956312
hotel_91,2023-04-20,2023-04-07,0.7528089887640449,0.85835594,0.8856264550236241
hotel_91,2023-04-21,2023-04-07,0.6179775280898876,0.8556703,0.8374358946008261
hotel_91,2023-04-22,2023-04-07,0.7191011235955056,0.8268058,0.8252140769265686
hotel_91,2023-04-23,2023-04-07,0.6629213483146067,0.7390352,0.7482646767320424
hotel_91,2023-04-24,2023-04-07,1.0,0.7807913,0.7583592231609966
hotel_91,2023-04-25,2023-04-07,0.9887640449438202,0.7901338,0.7985214777345959
hotel_91,2023-04-26,2023-04-07,0.9213483146067416,0.8337747,0.8345536620243068
hotel_91,2023-04-27,2023-04-07,0.550561797752809,0.8565482,0.8559320934614519
hotel_91,2023-04-28,2023-04-07,0.43820224719101125,0.8467013,0.8442497693591864
hotel_91,2023-04-29,2023-04-07,0.47191011235955055,0.8704551,0.84292360244611
hotel_91,2023-04-30,2023-04-07,0.42696629213483145,0.88425183,0.8249396833194378
hotel_91,2023-05-01,2023-04-07,0.5393258426966292,0.808813,0.812398482060431
hotel_91,2023-05-02,2023-04-07,0.8426966292134831,0.8764415,0.8950456110367153
hotel_91,2023-05-03,2023-04-07,0.6966292134831461,0.8510833,0.8405094104432279
hotel_91,2023-05-04,2023-04-07,0.9325842696629213,0.8485955,0.8286020306125508
hotel_91,2023-05-05,2023-04-07,1.0,0.82798123,0.8317979528475259
hotel_98,2023-04-08,2023-04-07,0.46774193548387094,0.44864133,0.4520585086167881
hotel_98,2023-04-09,2023-04-07,0.1935483870967742,0.35297304,0.35322968492422235
hotel_98,2023-04-10,2023-04-07,0.20967741935483872,0.2306924,0.2720300266071942
hotel_98,2023-04-11,2023-04-07,0.23387096774193547,0.18980347,0.24803739376965775
hotel_98,2023-04-12,2023-04-07,0.08064516129032258,0.20720938,0.2112462664009584
hotel_98,2023-04-13,2023-04-07,0.13709677419354838,0.2702073,0.2673734309025411
hotel_98,2023-04-14,2023-04-07,0.1693548387096774,0.33442926,0.36865145892184625
hotel_98,2023-04-15,2023-04-07,0.1693548387096774,0.41302228,0.40382417219136035
hotel_98,2023-04-16,2023-04-07,0.1532258064516129,0.37028804,0.357254126494401
hotel_98,2023-04-17,2023-04-07,0.12903225806451613,0.35836422,0.34244779831921357
hotel_98,2023-04-18,2023-04-07,0.1935483870967742,0.3179072,0.33642066729913095
hotel_98,2023-04-19,2023-04-07,0.13709677419354838,0.28493652,0.3244149968313648
hotel_98,2023-04-20,2023-04-07,0.1693548387096774,0.33705112,0.33505289628694024
hotel_98,2023-04-21,2023-04-07,0.20967741935483872,0.3283509,0.35863820288065257
hotel_98,2023-04-22,2023-04-07,0.33064516129032256,0.37584987,0.3823963740398211
hotel_98,2023-04-23,2023-04-07,0.12903225806451613,0.3521652,0.37022946391667233
hotel_98,2023-04-24,2023-04-07,0.13709677419354838,0.28194955,0.37628296122113924
hotel_98,2023-04-25,2023-04-07,0.14516129032258066,0.30205357,0.35740526598138966
hotel_98,2023-04-26,2023-04-07,0.0967741935483871,0.31620577,0.33217154757774076
hotel_98,2023-04-27,2023-04-07,0.11290322580645161,0.2745332,0.32668392475420166
hotel_98,2023-04-28,2023-04-07,0.41935483870967744,0.32366592,0.3486820862436151
hotel_98,2023-04-29,2023-04-07,0.6451612903225806,0.36882514,0.34875773137847993
hotel_98,2023-04-30,2023-04-07,0.6935483870967742,0.3696579,0.34870705659569157
hotel_98,2023-05-01,2023-04-07,0.21774193548387097,0.37048084,0.35005181532160645
hotel_98,2023-05-02,2023-04-07,0.16129032258064516,0.39813426,0.34630717046610515
hotel_98,2023-05-03,2023-04-07,0.16129032258064516,0.34975043,0.34996147192875215
hotel_98,2023-05-04,2023-04-07,0.3225806451612903,0.34618792,0.3326891741396529
hotel_98,2023-05-05,2023-04-07,0.31451612903225806,0.34345296,0.3542003266182607
hotel_0,2023-05-06,2023-05-05,0.9876543209876543,0.8849896,0.8056730097506365
hotel_0,2023-05-07,2023-05-05,0.6049382716049383,0.6028209,0.6554023968090709
hotel_0,2023-05-08,2023-05-05,0.49382716049382713,0.6574754,0.6750462738071445
hotel_0,2023-05-09,2023-05-05,0.6666666666666666,0.7738997,0.7129295794587615
hotel_0,2023-05-10,2023-05-05,0.6296296296296297,0.71172255,0.6949958670604236
hotel_0,2023-05-11,2023-05-05,0.8271604938271605,0.7732701,0.6844135094973189
hotel_0,2023-05-12,2023-05-05,0.8765432098765432,0.79645383,0.7679783756427383
hotel_0,2023-05-13,2023-05-05,0.9876543209876543,0.8206113,0.7785487647592924
hotel_0,2023-05-14,2023-05-05,0.43209876543209874,0.59719455,0.6908644955447075
hotel_0,2023-05-15,2023-05-05,0.5802469135802469,0.6785207,0.6444852897798035
hotel_0,2023-05-16,2023-05-05,0.7037037037037037,0.7145894,0.7052347256072687
hotel_0,2023-05-17,2023-05-05,0.691358024691358,0.8173465,0.7063226266308634
hotel_0,2023-05-18,2023-05-05,0.7654320987654321,0.8149642,0.713693823535792
hotel_0,2023-05-19,2023-05-05,0.6666666666666666,0.8271667,0.7803168222160219
hotel_0,2023-05-20,2023-05-05,0.8024691358024691,0.8784023,0.7991484362963606
hotel_0,2023-05-21,2023-05-05,0.3333333333333333,0.70873326,0.7571595547013587
hotel_0,2023-05-22,2023-05-05,0.3950617283950617,0.68042165,0.7744283983646051
hotel_0,2023-05-23,2023-05-05,0.6172839506172839,0.81574565,0.7768573522699641
hotel_0,2023-05-24,2023-05-05,0.7654320987654321,0.84011805,0.7373516444323779
hotel_0,2023-05-25,2023-05-05,0.7407407407407407,0.8931296,0.7629374146178881
hotel_0,2023-05-26,2023-05-05,0.8518518518518519,0.8975262,0.7801904400302931
hotel_0,2023-05-27,2023-05-05,0.9753086419753086,0.9133493,0.8078596433627041
hotel_0,2023-05-28,2023-05-05,0.8888888888888888,0.7904252,0.7816113048511594
hotel_0,2023-05-29,2023-05-05,0.2716049382716049,0.7870533,0.7831484604600564
hotel_0,2023-05-30,2023-05-05,0.2962962962962963,0.8478496,0.7802249025535616
hotel_0,2023-05-31,2023-05-05,0.3950617283950617,0.81434417,0.8016048617766207
hotel_0,2023-06-01,2023-05-05,0.43209876543209874,0.87763464,0.7897686202634183
hotel_0,2023-06-02,2023-05-05,0.691358024691358,0.8829579,0.8145270742617862
hotel_105,2023-05-06,2023-05-05,0.9056603773584906,0.9369161,0.9260071609247232
hotel_105,2023-05-07,2023-05-05,0.7672955974842768,0.7154194,0.7268950227831161
hotel_105,2023-05-08,2023-05-05,1.0125786163522013,0.78703934,0.7536578486003385
hotel_105,2023-05-09,2023-05-05,0.9937106918238994,0.7764434,0.7894435170673593
hotel_105,2023-05-10,2023-05-05,1.0,0.7904063,0.8309729216876398
hotel_105,2023-05-11,2023-05-05,0.7924528301886793,0.8261317,0.8319753624057427
hotel_105,2023-05-12,2023-05-05,1.0062893081761006,0.8494622,0.8527158443282079
hotel_105,2023-05-13,2023-05-05,0.9685534591194969,0.8835687,0.8996906141414751
hotel_105,2023-05-14,2023-05-05,0.6415094339622641,0.8805875,0.8066408543357033
hotel_105,2023-05-15,2023-05-05,0.9622641509433962,0.8908164,0.8172211352019771
hotel_105,2023-05-16,2023-05-05,1.0314465408805031,0.86563826,0.8487460112959189
hotel_105,2023-05-17,2023-05-05,1.0,0.8312636,0.845647778348567
hotel_105,2023-05-18,2023-05-05,0.8867924528301887,0.8393419,0.8428175186223308
hotel_105,2023-05-19,2023-05-05,0.949685534591195,0.82648456,0.8748183775908744
hotel_105,2023-05-20,2023-05-05,0.9937106918238994,0.8806545,0.8860299538774455
hotel_105,2023-05-21,2023-05-05,0.8553459119496856,0.8648892,0.8596057280054513
hotel_105,2023-05-22,2023-05-05,0.9622641509433962,0.86735356,0.8460463723710945
hotel_105,2023-05-23,2023-05-05,0.9559748427672956,0.8782262,0.8866312028454278
hotel_105,2023-05-24,2023-05-05,1.0,0.85881186,0.8621797337392523
hotel_105,2023-05-25,2023-05-05,0.9433962264150944,0.8573584,0.846942664970457
hotel_105,2023-05-26,2023-05-05,1.0062893081761006,0.8389352,0.8697746652261429
hotel_105,2023-05-27,2023-05-05,1.0,0.8739612,0.9081953227482609
hotel_105,2023-05-28,2023-05-05,0.9056603773584906,0.8555909,0.8443376029522618
hotel_105,2023-05-29,2023-05-05,0.9182389937106918,0.8774292,0.8328955671684948
hotel_105,2023-05-30,2023-05-05,0.9748427672955975,0.88922435,0.8527158443282079
hotel_105,2023-05-31,2023-05-05,1.0125786163522013,0.91115314,0.8603526695198916
hotel_105,2023-06-01,2023-05-05,0.8930817610062893,0.8491669,0.8480816151850062
hotel_105,2023-06-02,2023-05-05,0.949685534591195,0.8595825,0.8813089703066189
hotel_112,2023-05-06,2023-05-05,0.7875,0.80222875,0.7834901861295684
hotel_112,2023-05-07,2023-05-05,0.8125,0.7313388,0.7789622943043555
hotel_112,2023-05-08,2023-05-05,0.8625,0.8071326,0.8211689412974363
hotel_112,2023-05-09,2023-05-05,0.9125,0.884116,0.8646448289972843
hotel_112,2023-05-10,2023-05-05,0.775,0.9278781,0.8599463795791717
hotel_112,2023-05-11,2023-05-05,0.8625,0.92931455,0.8740848559672113
hotel_112,2023-05-12,2023-05-05,0.85625,0.8242868,0.860731509634507
hotel_112,2023-05-13,2023-05-05,0.9625,0.83924824,0.8277141999011747
hotel_112,2023-05-14,2023-05-05,0.70625,0.82408756,0.818137892726901
hotel_112,2023-05-15,2023-05-05,0.9875,0.8360064,0.8402806128038046
hotel_112,2023-05-16,2023-05-05,1.01875,0.89881843,0.8856330756677108
hotel_112,2023-05-17,2023-05-05,0.99375,0.91192156,0.8763369214754885
