unique_id,ds,cutoff,NBEATS,NHITS,y
hotel_105,2023-04-09,2023-04-07,0.78348964,0.7837944,0.5534591194968553
hotel_105,2023-04-10,2023-04-07,0.76659966,0.75900793,0.6666666666666666
hotel_105,2023-04-11,2023-04-07,0.86150676,0.8229743,0.7421383647798742
hotel_105,2023-04-12,2023-04-07,0.86419904,0.8641517,0.7924528301886793
hotel_105,2023-04-13,2023-04-07,0.8382211,0.88624096,0.7610062893081762
hotel_105,2023-04-14,2023-04-07,0.94480413,0.93604887,0.8301886792452831
hotel_105,2023-04-15,2023-04-07,0.9302549,0.89098084,0.8742138364779874
hotel_105,2023-04-16,2023-04-07,0.7421098,0.7622726,0.6415094339622641
hotel_105,2023-04-17,2023-04-07,0.7556524,0.7577898,0.7861635220125787
hotel_105,2023-04-18,2023-04-07,0.84510815,0.8300403,0.9371069182389937
hotel_105,2023-04-19,2023-04-07,0.8420805,0.8650502,0.9056603773584906
hotel_105,2023-04-20,2023-04-07,0.8513465,0.88600653,0.779874213836478
hotel_105,2023-04-21,2023-04-07,0.93787676,0.9482689,0.9371069182389937
hotel_105,2023-04-22,2023-04-07,0.9330471,0.8848351,0.8553459119496856
hotel_105,2023-04-23,2023-04-07,0.755492,0.7661849,0.6477987421383647
hotel_105,2023-04-24,2023-04-07,0.7386542,0.75667936,0.8930817610062893
hotel_105,2023-04-25,2023-04-07,0.8547611,0.8174281,1.0
hotel_105,2023-04-26,2023-04-07,0.86054707,0.8692901,1.0062893081761006
hotel_105,2023-04-27,2023-04-07,0.866084,0.88355094,0.7484276729559748
hotel_105,2023-04-28,2023-04-07,0.9239984,0.9355083,0.8616352201257862
hotel_105,2023-04-29,2023-04-07,0.92334384,0.8842164,1.0
hotel_105,2023-04-30,2023-04-07,0.7683421,0.77593493,0.5283018867924528
hotel_105,2023-05-01,2023-04-07,0.7593364,0.7641443,0.6666666666666666
hotel_105,2023-05-02,2023-04-07,0.828824,0.8222192,0.8238993710691824
hotel_105,2023-05-03,2023-04-07,0.85365725,0.8676327,0.7358490566037735
hotel_105,2023-05-04,2023-04-07,0.8367816,0.89219904,0.8238993710691824
hotel_105,2023-05-05,2023-04-07,0.9351332,0.94552547,0.89937106918239
hotel_105,2023-05-06,2023-05-05,0.895875,0.86170363,0.9056603773584906
hotel_105,2023-05-07,2023-05-05,0.75318295,0.7519289,0.7672955974842768
hotel_105,2023-05-08,2023-05-05,0.78691345,0.77599806,1.0125786163522013
hotel_105,2023-05-09,2023-05-05,0.9060595,0.8545454,0.9937106918238994
hotel_105,2023-05-10,2023-05-05,0.8545341,0.88484573,1.0
hotel_105,2023-05-11,2023-05-05,0.8229624,0.89539814,0.7924528301886793
hotel_105,2023-05-12,2023-05-05,0.90634257,0.9217291,1.0062893081761006
hotel_105,2023-05-13,2023-05-05,0.9045035,0.85540116,0.9685534591194969
hotel_105,2023-05-14,2023-05-05,0.7246473,0.75988346,0.6415094339622641
hotel_105,2023-05-15,2023-05-05,0.7832524,0.79695535,0.9622641509433962
hotel_105,2023-05-16,2023-05-05,0.8955578,0.8707984,1.0314465408805031
hotel_105,2023-05-17,2023-05-05,0.8776281,0.8963476,1.0
hotel_105,2023-05-18,2023-05-05,0.8420795,0.8967701,0.8867924528301887
hotel_105,2023-05-19,2023-05-05,0.92666256,0.9359981,0.949685534591195
hotel_105,2023-05-20,2023-05-05,0.8955359,0.84413624,0.9937106918238994
hotel_105,2023-05-21,2023-05-05,0.7336885,0.7575253,0.8553459119496856
hotel_105,2023-05-22,2023-05-05,0.7575127,0.77441,0.9622641509433962
hotel_105,2023-05-23,2023-05-05,0.8850291,0.8488393,0.9559748427672956
hotel_105,2023-05-24,2023-05-05,0.89142793,0.88807154,1.0
hotel_105,2023-05-25,2023-05-05,0.8542406,0.8946691,0.9433962264150944
hotel_105,2023-05-26,2023-05-05,0.8928932,0.91982466,1.0062893081761006
hotel_105,2023-05-27,2023-05-05,0.883303,0.83748174,1.0
hotel_105,2023-05-28,2023-05-05,0.7570303,0.7590894,0.9056603773584906
hotel_105,2023-05-29,2023-05-05,0.78628576,0.77786165,0.9182389937106918
hotel_105,2023-05-30,2023-05-05,0.881035,0.84611005,0.9748427672955975
hotel_105,2023-05-31,2023-05-05,0.87655056,0.8730792,1.0125786163522013
hotel_105,2023-06-01,2023-05-05,0.8335658,0.8932172,0.8930817610062893
hotel_105,2023-06-02,2023-05-05,0.9068716,0.9115191,0.949685534591195
hotel_105,2023-06-03,2023-06-02,0.9649328,0.9493433,1.0125786163522013
hotel_105,2023-06-04,2023-06-02,0.86244655,0.8795775,0.9119496855345912
hotel_105,2023-06-05,2023-06-02,0.9131866,0.8921408,0.9937106918238994
hotel_105,2023-06-06,2023-06-02,1.0088577,0.9558342,1.0062893081761006
hotel_105,2023-06-07,2023-06-02,0.953199,0.9809278,0.9811320754716981
hotel_105,2023-06-08,2023-06-02,0.89254516,0.96494055,0.9559748427672956
hotel_105,2023-06-09,2023-06-02,0.96853244,0.96843535,0.9811320754716981
hotel_105,2023-06-10,2023-06-02,0.97655237,0.94750744,1.0062893081761006
hotel_105,2023-06-11,2023-06-02,0.8349356,0.8818679,0.9811320754716981
hotel_105,2023-06-12,2023-06-02,0.89905167,0.90019894,0.9937106918238994
hotel_105,2023-06-13,2023-06-02,1.0029397,0.96420175,1.0377358490566038
